id,slug,shortname,name,city,region,country,coordinates,source,contact,currentPrediction,isGroundhog,type,active,successor,description,image,predictionsCount
1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,"40.9311988,-78.9622483",https://www.groundhog.org/history-past-predictions,,https://www.stormfax.com/ghogday.htm,1,Groundhog,1,,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,131
2,octoraro-orphie,Orphie,Octoraro Orphie,Quarryville,Pennsylvania,USA,"39.8255413,-76.0919567",https://orphie.neocities.org,,https://www.facebook.com/quarryvillelibrary/posts/pfbid037Yn2MUTFmQAcntb9Cf5TpFwvP5zWyzTt28arm57zHt9uw6cWvHb19YUh8HvXctZzl?comment_id=1252909710030446,0,Taxidermied groundhog,1,,"Octoraro Orphie, from Quarryville Pennsylvania, is a taxidermied world-renowned weather prognosticator and “One True Groundhog.” Other so-called groundhogs draw more celebrity endorsements, but Orphie is not distracted by the worldly pursuits of fame and fortune (at least partially due to his being stuffed and mounted). He is a sharp dresser, often spotted in his dapper top hat and bow tie.",https://groundhog-day.com/images/ghogs/octoraro-orphie.jpeg,94
4,jimmy-the-groundhog,Jimmy,Jimmy the Groundhog,Sun Prairie,Wisconsin,USA,"43.1826322,-89.2143204",https://www.cityofsunprairie.com/840/Groundhog-Day,visit@cityofsunprairie.com,https://www.facebook.com/cityofsunprairie/posts/pfbid0yCYH2qDcy6aKQN9LoAu3BharfX8C5WuKE2sxLTe92u2udbh4bouKdb4Kcfj8gMAHl,1,Groundhog,1,,"Jimmy the Groundhog is based in Sun Prairie, Wisconsin, the proclaimed “World Headquarters of the Groundhog.” His annual emergence from the ground on February 2nd foretells the coming of spring. Jimmy has an extremely high accuracy rate on his annual predictions, making him an outstanding leader in meteorological circles. He occasionally bites mayors’ ears.",https://groundhog-day.com/images/ghogs/jimmy-the-groundhog.jpeg,58
5,concord-charlie,Charlie,Concord Charlie,Athens,West Virginia,USA,"37.4245956,-81.0095902",https://www.concord.edu/?s=concord+charlie,,https://www.facebook.com/reel/1437144027874392,0,Presumed groundhog,1,,"Concord Charlie is a presumed groundhog from Athens, West Virginia. In a tradition dating back to 1978, Charlie meets with the President of Concord University and relays his predictions regarding the duration of winter. The President then joins a slew of guests at the University’s annual Groundhog Day Breakfast and shares Charlie’s predictions. Notably, Charlie has never been seen by anyone except the President and presumably other university staff; we believe him to be a groundhog based on these few eyewitness accounts.",https://groundhog-day.com/images/ghogs/concord-charlie.jpeg,48
6,buckeye-chuck,Chuck,Buckeye Chuck,Marion,Ohio,USA,"40.6141291,-83.1321507,",https://en.wikipedia.org/wiki/Buckeye_Chuck#Past_predictions,,https://clevelandmagazine.com/articles/buckeye-chuck-predicts-an-early-spring-in-2026/,1,Groundhog,1,,"Buckeye Chuck is a weather-predicting groundhog in Marion, Ohio. In 1979, the Ohio legislature named Chuck the official groundhog for the Ohio state. Buckeye Chuck lives a comfortable, celebrity lifestyle — only working one day a year — but he doesn’t let the fame get to his head.",https://groundhog-day.com/images/ghogs/buckeye-chuck.jpeg,43
7,general-beauregard-lee,Beau,General Beauregard Lee,Jackson,Georgia,USA,"33.233898,-83.9466163",https://twitter.com/genbeaulee,,https://www.wrdw.com/2026/02/02/georgias-general-beauregard-lee-give-groundhog-day-prediction/,1,Groundhog,1,,"General Beauregard Lee is Georgia’s Official Weather Prognosticator, considered the principal prognosticator for the southern USA. General Beau lives comfortably in his groundhog-sized mansion known as Weathering Heights, where he enjoys naps, digging tunnels, and hashbrowns.",https://groundhog-day.com/images/ghogs/general-beauregard-lee.jpeg,43
8,french-creek-freddie,Freddie,French Creek Freddie,Upshur County,West Virginia,USA,"38.8573662,-80.3149827",https://wvdnr.gov/french-creek-freddie-facts-to-get-you-ready-for-groundhog-day/,,https://www.facebook.com/susan.c.larrick/posts/pfbid028jUHcB5f96bHqbfcBiiHvDNRmRYRvCZQcj6yNu357eHdfycuuWBaQ9m2yrocb9qfl,1,Groundhog,1,,"French Creek Freddie is a weather-predicting groundhog from Upshur County, West Virginia. Unlike his unseen state compatriot Concord Charlie, French Creek Freddie is a visible groundhog, who issues predictions annually from his home at the West Virginia State Wildlife Center.",https://groundhog-day.com/images/ghogs/french-creek-freddie.jpeg,38
9,gertie-the-groundhog,Gertie,Gertie the Groundhog,Hanna City,Illinois,USA,"40.732973,-89.7383042",https://www.facebook.com/wildlifeprairiepark,,https://www.facebook.com/john.c.ackerman/posts/pfbid02ooFeevZr2PRutFbeB13rCrkXSJ5YLQWmx5R8bHz8SJPMihj8TsPYoBuXk4DnSKyDl,1,Groundhog,1,,"Gertie the Groundhog is a celebrated meteorologist from Wildlife Prairie State Park, Illinois. Since 1993, Gertie has been predicting the weather on February 2nd from her wildlife chalet, inspiring local musician Barry Cloyd to write the original, hit song “Wake-Up Gertie.”",https://groundhog-day.com/images/ghogs/gertie-the-groundhog.jpeg,33
10,dunkirk-dave,Dave,Dunkirk Dave,Dunkirk,New York,USA,"42.4609398,-79.3944887",https://www.dunkirkdave.com,www.dunkirkdave.com/contact/,https://www.facebook.com/brenda.tarnowskiswanson/posts/pfbid09smB1BTvFgvq3hwAyC9tAS6Swgdzan8PCAuFg75phizjxQLzHNYKu5UN3EbycZzZl,1,Groundhog,1,,"Dunkirk Dave, from Dunkirk, New York, is the second longest prognosticating groundhog in the world, second only to Punxsutawney Phil. His owner, Bob Will, has been handling and helping groundhogs and other wildlife since he was a child, making Will and Dave the perfect pairing. Dave loves breakfasting on cooked oatmeal.",https://groundhog-day.com/images/ghogs/dunkirk-dave.jpeg,31
11,malverne-mel,Malverne Mel,Malverne Mel,Malverne,New York,USA,"40.6793192,-73.6665466",https://www.facebook.com/crossroadsfarmatgrossmanns,,https://www.facebook.com/943TheShark/posts/pfbid02y33AhDJAcATURFVzsWd5B3bYW5YMEVWWigVzzuU5yiG11A6SnPb3izX5zsYjwjF5l,1,Groundhog,1,,"Groundhog Day with Malverne Mel is a tradition more than 2 decades old in Malverne, New York. Not happy with only predicting the weather, Mel is an art connoisseur and also hosts a poster contest. Mel is also a huge fan of the Bill Murray movie, “Groundhog Day.”",https://groundhog-day.com/images/ghogs/malverne-mel.jpeg,31
