year,details,prediction_clean,x
2025,"Shadow at 7:25 AM; 17º with partly sunny skies. Over 30,000 of Phil’s fans were present to witness Phil see his shadow.",More winter,1
2024,"NO Shadow at 7:26 AM; 36º with overcast skies. Miranda Moore, 2023 Miss Pennsylvania was the special guest of the Inner Circle at the Knob.",Early spring,-1
2023,Shadow at 7:24 AM; 13º with clear skies. PA Governor Josh Shapiro attends. Thousands of Eagles Super Bowl LVII fans help celebrate Phil’s big day at the Knob.,More winter,1
2022,Shadow at 7:27 AM; 27º with clear skies. A loyal crowd of thousands returned to Gobbler’s Knob.,More winter,1
2021,Shadow at 7:25 AM; 19º with light snow. Coronavirus fear prohibits crowds on Gobbler’s Knob.,More winter,1
2020,NO Shadow at 7:26 AM; 30º with light snow falling.,Early spring,-1
2019,NO Shadow at 7:28 AM; 14º fog & mist with -1º Wind Chill.,Early spring,-1
2018,"At 7:25 a.m. with 18,000 Phil Phans present, Phil saw his shadow! Six More Weeks of Winter!",More winter,1
2017,"7:25 a.m. Saw His Shadow, Six More Weeks of Winter! There were a few snow flurries during the prognostication.",More winter,1
2016,No Shadow- Early Spring It was 28° at Gobbler’s Knob. Phil made his perdition of an Early Spring at 7:25 a.m.,Early spring,-1
2015,Six More Weeks of Winter Was the prediction of Phil. The morning was filled with freezing rain. Phil emerged from his burrow at 7:26 a.m.,More winter,1
2014,"Six More Weeks of Winter With fog in site, Phil made his prediction at 7:26 a.m.",More winter,1
2013,No Shadow- Early Spring A Balmy 7° Phil made his prediction at 7:25 a.m.,Early spring,-1
2012,Six More Weeks of Winter The skies slightly overcast and a temperate of 30°. Phil saw his shadow!,More winter,1
2011,"No Shadow- Early Spring With rain over head, Phil made his prediction.",Early spring,-1
2010,The temperature was 12°. Saw Shadow- Six More Weeks of Winter,More winter,1
2009,At 7:26 a.m. Phil saw his shadow and Inner Circle President Bill Cooper completed his final interpretation and retired at Gobbler’s Knob.,More winter,1
2008,"At 7:28 a.m., 29°, Phil Saw his Shadow.",More winter,1
2007,No Shadow- Early Spring It was a cloudy morning with light snow flurries when Phil emerged from his burrow at about 7:26 a.m. and did not see his shadow.,Early spring,-1
2006,Phil saw his shadow while wearing his Steeler “Terrible Towel” at 7:25 a.m. The temperature was a balmy 38 degrees.,More winter,1
2005,"The sky was clear as Phil saw his shadow before an enthusiastic crowd of 10-18,000. The time was 7:31 a.m. It was Phil’s 119th prediction.",More winter,1
2004,Phil saw his shadow at 7:27 in 8 degree weather. Event was webcast live on www.groundhog.org,More winter,1
2003,Phil saw his shadow at 7:25 AM as Pennsylvania’s newly elected Governor Ed Rendell looked on from Gobbler’s Knob.,More winter,1
2002,"Phil saw his shadow at the largest event in 116 year history with estimated 30,000 people celebrating 02/02/02",More winter,1
2001,Phil’s prediction of 6 more weeks of winter weather was displayed on the Astrovision in New York’s Time Square.,More winter,1
2000,It was the dawn of a new “Phillenium” and 12-degrees at Gobbler’s Knob when Phil saw his shadow at 7:28 AM.,More winter,1
1999,"Over 15,000 people celebrated as Phil saw no shadow at 7:23 AM and predicted and early spring",Early spring,-1
1998,Saw Shadow 7:20AM; Six more weeks of “El Nino” Winter.,More winter,1
1997,"No Shadow 7:25AM. Made his 110th prediction. Largest crowd the Knob has seen 35,000 people",Early spring,-1
1996,Saw Shadow 7:21; So cold he dug deep to make his prediction.,More winter,1
1995,No Shadow; Guested on the Oprah Winfrey TV Show and made new fans.,Early spring,-1
1994,Saw Shadow 7:28 AM.,More winter,1
1993,Saw Shadow. “Groundhog Day” The movie with Bill Murray was released in time for PHIL’S Predition.,More winter,1
1992,Saw Shadow.,More winter,1
1991,Saw Shadow.,More winter,1
1990,No Shadow.,Early spring,-1
1989,Saw Shadow.,More winter,1
1988,No Shadow.,Early spring,-1
1987,Saw Shadow 7:29 AM.,More winter,1
1986,No Shadow! Visited President Reagan at the White House in March.,Early spring,-1
1985,Saw Shadow at 7:28 AM.,More winter,1
1984,Saw Shadow shortly after 7 AM.,More winter,1
1983,"No Shadow; Peered over at 7:29 AM, but saw no shadow; predicted an early spring after a mild winter.",Early spring,-1
1982,Saw Shadow 7:26 AM; After coldest January in more than a century.,More winter,1
1981,Saw Shadow at 7:27 AM.,More winter,1
1980,Saw Shadow at 7:29 AM.,More winter,1
1979,Saw Shadow at 7:28 AM.,More winter,1
1978,Saw Shadow at 7:28 AM.,More winter,1
1977,Saw Shadow at 7:27; In midst of energy crisis.,More winter,1
1976,Saw Shadow at 7:29 AM.,More winter,1
1975,No Shadow; Declared at 7:31 AM.,Early spring,-1
1974,Saw Shadow 8:28 AM.,More winter,1
1973,Saw Shadow 7:29 AM.,More winter,1
1972,Saw Shadow 7:30 AM.,More winter,1
1971,Saw Shadow at 7:29 AM; 14 below zero.,More winter,1
1970,No Shadow.,Early spring,-1
1969,Saw Shadow 7:29 AM.,More winter,1
1968,Saw Shadow 7:29 AM.,More winter,1
1967,Saw Shadow 7:25 AM.,More winter,1
1966,Saw Shadow at 7:21 AM.,More winter,1
1965,Saw Shadow shortly before 8 AM.,More winter,1
1964,Saw Shadow.,More winter,1
